"TOA5","Irgason_garden","CR1000X","70307","CR1000X.8.2.1","CPU:EasyFlux_TGAOPEC_CR1KXE_V0_0605_2025_Enc.CR1X","56716","AmrFlux"
"TIMESTAMP","RECORD","TIMESTAMP_START","TIMESTAMP_END","CH4","CH4_SIGMA","CO2","CO2_SIGMA","H2O","H2O_SIGMA","FCH4","FCH4_SSITC_TEST","FC","FC_SSITC_TEST","FH2O","FH2O_SSITC_TEST","LE","LE_SSITC_TEST","H","H_SSITC_TEST","FETCH_MAX","FETCH_90","FETCH_80","FETCH_70","FETCH_FILTER","MO_LENGTH","TAU","TAU_SSITC_TEST","U_SIGMA","USTAR","V_SIGMA","W_SIGMA","WD","WS","WS_MAX","zL","PA","TA_1_1_1","RH_1_1_1","TA_1_1_2","RH_1_1_2","TA_1_1_3","RH_1_1_3","VPD","T_SONIC","T_SONIC_SIGMA","PBLH_F","ALB","NETRAD","SW_IN","SW_OUT","LW_IN","LW_OUT","P"
"TS","RN","","","nmolCH4 mol-1","nmolCH4 mol-1","umolCO2 mol-1","umolCO2 mol-1","mmolH2O mol-1","mmolH2O mol-1","nmolCH4 m-2 s-1","adimensional","umolCO2 m-2 s-1","adimensional","mmolH2O m-2 s-1","adimensional","W m-2","adimensional","W m-2","adimensional","m","m","m","m","adimensional","m","kg m-1 s-2","adimensional","m s-1","m s-1","m s-1","m s-1","decimal degrees","m s-1","m s-1","adimensional","kPa","deg C","%","deg C","%","deg C","%","hPa","deg C","deg C","m","%","W m-2","W m-2","W m-2","W m-2","W m-2","mm"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Smp","Smp","Smp","Tot"
"2025-06-05 17:30:00",0,202506051713,202506051730,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",23.56002,18.41126,"NAN","NAN","NAN","NAN",25.3774,139.3818,352.5942,89.71475,338.2289,461.7265,0
"2025-06-05 18:00:00",1,202506051730,202506051800,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",23.15634,18.54073,"NAN","NAN","NAN","NAN",25.04844,61.76683,234.6863,61.15183,335.2042,446.9718,0
"2025-06-05 18:30:00",2,202506051800,202506051830,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",22.94162,20.12957,"NAN","NAN","NAN","NAN",29.21858,51.85787,232.6639,68.77442,328.2434,440.275,0
"2025-06-05 19:00:00",3,202506051830,202506051900,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",22.68378,18.20399,"NAN","NAN","NAN","NAN",26.0745,-17.30015,93.78748,25.90299,332.3794,417.564,0
"2025-06-05 19:30:00",4,202506051900,202506051930,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",20.98043,27.90411,"NAN","NAN","NAN","NAN",24.67364,-46.86255,30.82397,7.772057,325.5081,395.4226,0
"2025-06-05 20:00:00",5,202506051930,202506052000,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",18.93937,33.88292,"NAN","NAN","NAN","NAN",35.88813,-55.03131,8.121996,4.921723,316.9185,375.1501,0
"2025-06-05 20:30:00",6,202506052000,202506052030,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",17.00299,40.76738,"NAN","NAN","NAN","NAN",0,-51.5749,-2.906526,1.034694,318.9304,366.5641,0
"2025-06-05 21:00:00",7,202506052030,202506052100,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",16.69717,37.59961,"NAN","NAN","NAN","NAN",0,-44.96406,-0.6285627,3.113143,332.2405,373.4629,0
