"TOA5","Irgason_garden","CR1000X","70307","CR1000X.8.2.1","CPU:EasyFlux_DL_CR1000XOP_v2_01.N40 03Mar25.5.cr1x","29415","Flux_AmeriFluxFormat"
"TIMESTAMP","RECORD","TIMESTAMP_START","TIMESTAMP_END","CO2","CO2_SIGMA","H2O","H2O_SIGMA","FC","FC_SSITC_TEST","LE","LE_SSITC_TEST","ET","ET_SSITC_TEST","H","H_SSITC_TEST","G","SG","FETCH_MAX","FETCH_90","FETCH_55","FETCH_40","WD","WS","WS_MAX","USTAR","ZL","TAU","TAU_SSITC_TEST","MO_LENGTH","U","U_SIGMA","V","V_SIGMA","W","W_SIGMA","PA","TA_1_1_1","RH_1_1_1","T_DP_1_1_1","TA_1_1_2","RH_1_1_2","T_DP_1_1_2","TA_1_1_3","RH_1_1_3","T_DP_1_1_3","VPD","T_SONIC","T_SONIC_SIGMA","PBLH","TS_1_1_1","TS_1_1_2","TS_1_1_3","SWC_1_1_1","SWC_1_1_2","SWC_1_1_3","ALB","NETRAD","SW_IN","SW_OUT","LW_IN","LW_OUT","P"
"TS","RN","","","umolCO2 mol-1","umolCO2 mol-1","mmolH2O mol-1","mmolH2O mol-1","umolCO2 m-2 s-1","adimensional","W m-2","adimensional","mm hour-1","adimensional","W m-2","adimensional","W m-2","W m-2","m","m","m","m","decimal degrees","m s-1","m s-1","m s-1","adimensional","kg m-1 s-2","adimensional","m","m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","kPa","deg C","%","deg C","deg C","%","deg C","deg C","%","deg C","hPa","deg C","deg C","m","deg C","deg C","deg C","%","%","%","%","W m-2","W m-2","W m-2","W m-2","W m-2","mm"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Smp","Smp","Smp","Tot"
"2025-05-05 11:30:00",555,202505051100,202505051130,428.4346,1.390298,9.396338,0.4042993,-8.442279,1,121.433,1,0.176423,1,84.69791,1,442435,442436.3,28.80257,79.45834,40.94291,30.98874,129.9349,4.787854,8.229274,0.4243184,-0.02616317,0.1907416,1,-62.84138,4.678616,1.045165,0,1.019777,3.72529E-09,0.4718355,86.34065,10.16769,64.52185,3.77742,9.950643,65.38412,3.766605,9.766894,69.99557,4.560952,4.253241,10.79284,0.5657561,1484.109,359.1904,-342665.5,"NAN",20.13906,15.65019,14.29722,19.8944,314.0121,434.5665,86.36359,343.0372,377.228,0
"2025-05-05 12:00:00",556,202505051130,202505051200,428.8719,1.285591,9.51266,0.393577,-8.067369,1,127.1395,1,0.1848117,1,109.1609,1,2261183,2261184,26.54385,73.2365,37.73175,28.55831,124.8319,4.813382,9.111346,0.3690041,-0.05056867,0.1439263,1,-32.51281,4.730414,0.9294789,0,0.9014707,0,0.4544269,86.31686,10.70943,63.01198,3.953964,10.36168,64.37328,3.936633,10.32339,67.83508,4.645426,4.50029,11.21548,0.5945849,1498.784,340.2242,-297575.3,"NAN",20.13768,15.6542,14.30108,19.99923,393.4431,540.7318,108.1514,346.8381,385.9754,0
"2025-05-05 12:30:00",557,202505051200,202505051230,427.6883,1.734206,10.02638,0.4900691,-12.15035,1,171.7569,1,0.2498816,1,159.2202,1,2291947,2291947,27.73362,76.49455,39.41983,29.83628,129.1309,4.588056,9.039315,0.376193,-0.06929424,0.1490582,1,-23.72679,4.442916,1.086363,0,1.148642,0,0.4385714,86.29682,11.66394,62.30476,4.691411,11.26622,63.82563,4.671571,11.21737,66.86198,5.289964,4.857539,12.16876,0.7872019,1625.464,325.9413,-293077.9,"NAN",20.12749,15.66375,14.29548,20.10327,541.7989,739.7667,148.7297,349.9933,399.2314,0
"2025-05-05 13:00:00",558,202505051230,202505051300,428.147,1.845199,10.28432,0.4811877,-11.30927,1,155.5585,1,0.2264773,1,142.3365,1,-238242.5,-238242.3,28.4897,78.59451,40.49774,30.65183,115.6878,4.37831,8.94786,0.4041973,-0.0500062,0.1715325,1,-32.87852,4.126228,1.335205,0,1.445115,7.450581E-09,0.4556395,86.25809,12.3802,60.907,5.044234,12.02354,62.2292,5.026437,11.96584,65.02572,5.601515,5.329916,12.95159,0.7233499,1498.607,302.3966,-253414.4,"NAN",20.10266,15.66594,14.29946,20.31918,428.1386,592.3604,119.9992,354.8343,399.0568,0
"2025-05-05 13:30:00",559,202505051300,202505051330,428.4766,1.390861,10.14747,0.3724116,-8.471801,1,118.4477,1,0.1724851,1,110.814,1,1348356,1348356,27.58115,76.09337,39.20638,29.67443,110.3918,4.882085,9.251879,0.4044448,-0.03882678,0.1715369,1,-42.34525,4.78848,1.253421,0,0.9420876,0,0.4747681,86.2211,12.56505,59.34549,4.850228,12.26993,60.41647,4.835513,12.19192,63.66941,5.512622,5.676202,13.18649,0.6025841,1494.026,290.5791,-227971.7,"NAN",20.09256,15.68996,14.31164,20.59617,341.3486,473.2173,97.42287,358.6649,393.1107,0
"2025-05-05 14:00:00",560,202505051330,202505051400,429.2493,1.249914,10.09495,0.3306677,-6.739377,1,97.47179,1,0.141976,1,77.58565,1,2367134,2367133,27.22436,75.11241,38.69946,29.29073,116.4507,5.086435,10.16189,0.4121051,-0.02597359,0.1778829,1,-63.30006,4.930674,1.227833,0,1.254191,4.656613E-10,0.4916983,86.19711,12.79608,58.1276,4.771942,12.55088,58.99753,4.759724,12.45929,62.29647,5.452857,5.986543,13.46356,0.473221,1483.887,285.0616,-206245,"NAN",20.09948,15.733,14.32213,20.58065,271.9607,381.1211,78.40627,359.5212,390.2754,0
"2025-05-05 14:30:00",561,202505051400,202505051430,429.3027,1.131178,10.12853,0.3192261,-6.568315,3,104.2677,3,0.15192,3,75.3997,3,81615.81,81613.73,28.46776,78.53798,40.46725,30.62868,117.8714,5.045276,9.159843,0.4456755,-0.02010095,0.2077582,2,-81.79366,4.932402,1.126583,0,1.083758,1.862645E-09,0.5028808,86.17364,13.10014,57.14374,4.813399,12.89913,57.84121,4.803388,12.77087,61.22009,5.496071,6.295638,13.81597,0.3842108,1474.939,283.7092,-194845.5,"NAN",20.12134,15.76441,14.32716,20.75334,212.4589,303.1537,62.88655,360.0059,387.8141,0
"2025-05-05 15:00:00",562,202505051430,202505051500,429.4871,1.015718,9.884391,0.278118,-5.756547,3,101.5338,3,0.1479534,3,71.97473,3,1825680,1825678,29.19862,80.55412,41.50682,31.41545,117.2721,6.459772,12.4494,0.5079839,-0.01298308,0.2697793,1,-126.6363,6.369591,1.581052,0,1.088651,-9.313226E-10,0.622513,86.15979,13.20236,55.4073,4.467821,12.98659,56.13826,4.457097,12.88845,59.46434,5.188552,6.588552,13.88169,0.3587505,1453.24,280.4813,-175358.5,"NAN",20.13511,15.78483,14.3393,21.05022,239.2439,338.3304,71.08796,359.3341,387.3326,0
